customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C1000,Male,0,No,No,5,Yes,No,No,Yes,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),64.72,323.6,No
C1001,Female,0,Yes,No,50,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),45.99,2299.5,No
C1002,Female,1,Yes,No,42,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Two year,Yes,Electronic check,46.69,1960.98,No
C1003,Male,0,No,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),32.06,384.72,No
C1004,Male,0,No,Yes,15,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),32.84,492.6,No
C1005,Female,0,Yes,Yes,20,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),49.14,982.8,No
C1006,Male,0,No,No,49,Yes,No,DSL,Yes,Yes,No internet service,No,No internet service,Yes,One year,Yes,Electronic check,96.19,4713.31,No
C1007,Female,0,No,No,21,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),60.15,1263.15,No
C1008,Male,1,Yes,Yes,59,No,No phone service,No,No,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),105.68,6235.12,No
C1009,Male,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Credit card (automatic),114.81,2985.06,No
C1010,Female,0,Yes,Yes,7,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,One year,No,Credit card (automatic),25.69,179.83,No
