customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No_phone_service,MultipleLines_Yes,InternetService_Fiber_optic,InternetService_No,OnlineSecurity_No_internet_service,OnlineSecurity_Yes,OnlineBackup_No_internet_service,OnlineBackup_Yes,DeviceProtection_No_internet_service,DeviceProtection_Yes,TechSupport_No_internet_service,TechSupport_Yes,StreamingTV_No_internet_service,StreamingTV_Yes,StreamingMovies_No_internet_service,StreamingMovies_Yes,Contract_One_year,Contract_Two_year,PaymentMethod_Credit_card_automatic,PaymentMethod_Electronic_check,PaymentMethod_Mailed_check,Churn_Yes,synthetic_anomaly
C1000,1,0,0,0,5,1,1,64.72,323.6,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,0
C1001,0,0,1,0,50,1,1,45.99,2299.5,False,False,True,False,False,True,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,0
C1002,0,1,1,0,42,1,1,46.69,1960.98,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,0
C1003,1,0,0,1,12,1,1,32.06,384.72,False,True,True,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,0
C1004,1,0,0,1,15,1,1,32.84,492.6,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
C1005,0,0,1,1,20,1,0,49.14,982.8,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0
C1006,1,0,0,0,49,1,1,96.19,4713.31,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,0
C1007,0,0,0,0,21,1,1,60.15,1263.15,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,0
C1008,1,1,1,1,59,0,0,105.68,6235.12,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,0
C1009,1,0,0,1,26,1,0,114.81,2985.06,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,0
C1010,0,0,1,1,35,1,0,0.0,0.0,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,False,1
C1011,0,1,0,1,6,1,1,90.5,543.0,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,0
C1012,0,0,1,0,28,1,0,26.7,747.6,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True,False,0
C1013,0,0,0,0,29,1,1,25.32,734.28,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,0
C1014,0,1,0,1,52,1,0,46.13,2398.76,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,0
C1015,0,0,0,1,34,0,0,28.36,964.24,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,0
C1016,0,0,0,0,11,1,1,85.62,941.82,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0
C1017,1,0,0,0,15,1,0,91.04,1365.6,False,True,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,0
C1018,0,0,0,1,40,1,1,83.2,3328.0,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,0
C1019,1,0,0,1,120,1,1,0.0,0.0,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,1
C1020,0,0,1,1,48,1,0,97.69,4689.12,False,True,True,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,0
C1021,1,0,1,1,66,1,0,96.8,6388.8,False,True,False,True,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,0
C1022,1,0,1,0,25,1,1,106.77,2669.25,True,False,False,True,False,True,False,True,True,False,False,True,True,False,True,False,True,False,False,True,False,False,0
C1023,0,0,0,0,39,1,0,88.71,3459.69,False,True,False,True,True,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,0
C1024,0,1,0,0,295,0,0,0.0,0.0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,1
C1025,0,0,1,1,15,1,0,71.52,1072.8,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,0
C1026,1,0,1,1,36,1,1,68.04,2449.44,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,0
C1027,0,0,0,1,21,0,0,29.0,609.0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,0
C1028,0,0,0,0,45,1,0,100.8,4536.0,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,True,0
C1029,1,0,0,0,53,1,1,111.11,5888.83,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,0
C1030,1,0,1,1,10,1,1,118.41,1184.1,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0
C1031,1,1,1,0,13,1,0,43.29,562.77,True,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,True,False,False,0
C1032,1,0,1,1,1,1,1,27.76,27.76,False,True,True,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
C1033,0,1,0,0,0,1,1,29.33,0.0,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,0
C1034,0,1,0,1,3,1,0,100.04,300.12,True,False,False,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,False,False,True,True,0
C1035,1,0,0,0,50,0,1,82.44,4122.0,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,False,0
C1036,0,0,1,0,65,0,1,95.12,6182.8,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,0
C1037,0,0,1,1,29,1,1,110.33,3199.57,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,False,True,False,0
C1038,1,1,0,1,63,1,1,41.08,2588.04,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,True,0
